symbol,name,price,marketCap,volume,industry
NVDA,NVIDIA Corporation Common Stock,178.1,4327830000000.0,126835201,Technology
AAPL,Apple Inc. Common Stock,253.5,3721668990000.0,61366485,Technology
GOOGL,Alphabet Inc. Class A Common Stock,305.46,3695149620000.0,22630153,Technology
GOOG,Alphabet Inc. Class C Capital Stock,303.93,3676641210000.0,16878591,Technology
MSFT,Microsoft Corporation Common Stock,372.29,2764487448704.0,20758253,Technology
AMZN,Amazon.com Inc. Common Stock,213.77,2294804034380.0,27009825,Consumer Discretionary
AVGO,Broadcom Inc. Common Stock,333.97,1581237133410.0,32728206,Technology
META,Meta Platforms Inc. Class A Common Stock,575.05,1454620869573.0,9114361,Technology
TSLA,Tesla Inc. Common Stock,346.65,1300780547254.0,71805921,Industrials
BRK/B,Berkshire Hathaway Inc.,478.08,1054793340248.0,3174362,
WMT,Walmart Inc. Common Stock,122.49,976539582347.0,15878741,Consumer Discretionary
LLY,Eli Lilly and Company Common Stock,931.09,879711411910.0,2709560,Health Care
JPM,JP Morgan Chase & Co. Common Stock,297.4,802097428325.0,7800375,Finance
XOM,Exxon Mobil Corporation Common Stock,163.91,682974197581.0,24772791,Energy
V,Visa Inc.,302.55,579688615530.0,4381180,Real Estate
JNJ,Johnson & Johnson Common Stock,238.41,574237477542.0,6230095,Health Care
COST,Costco Wholesale Corporation Common Stock,1013.21,449513190053.0,1422742,Consumer Discretionary
MA,Mastercard Incorporated Common Stock,498.28,444372238325.0,3586864,Real Estate
MU,Micron Technology Inc. Common Stock,377.58,425809822977.0,37534839,Technology
NFLX,Netflix Inc. Common Stock,98.82,417234063663.0,24364462,Consumer Discretionary
ORCL,Oracle Corporation Common Stock,143.17,411763505820.0,16640304,Technology
CVX,Chevron Corporation Common Stock,201.54,402150001530.0,11373171,Energy
ABBV,AbbVie Inc. Common Stock,206.37,365019491741.0,8794135,Health Care
AMD,Advanced Micro Devices Inc. Common Stock,221.53,361168949712.0,25514710,Technology
BAC,Bank of America Corporation Common Stock,50.28,359286257621.0,28229805,Finance
PLTR,Palantir Technologies Inc. Class A Common Stock,150.07,358767953600.0,27958527,Technology
CAT,Caterpillar Inc. Common Stock,724.44,337072754794.0,1521773,Industrials
PG,Procter & Gamble Company (The) Common Stock,141.3,328381296791.0,7187746,Consumer Discretionary
KO,Coca-Cola Company (The) Common Stock,75.91,326728244893.0,12709043,Consumer Staples
CSCO,Cisco Systems Inc. Common Stock (DE),80.68,318677370629.0,13365239,Telecommunications
HD,Home Depot Inc. (The) Common Stock,318.77,317498575017.0,4609715,Consumer Discretionary
GE,GE Aerospace Common Stock,288.6,301537823137.0,5246525,Technology
MRK,Merck & Company Inc. Common Stock (new),119.28,294906918118.0,11366009,Health Care
AMAT,Applied Materials Inc. Common Stock,354.31,281183911977.0,3975390,Technology
LRCX,Lam Research Corporation Common Stock,224.35,280161773850.0,6761934,Technology
UNH,UnitedHealth Group Incorporated Common Stock (DE),307.73,279319085935.0,22014683,Health Care
RTX,RTX Corporation Common Stock,197.92,266395217622.0,3022131,Industrials
MS,Morgan Stanley Common Stock,168.43,266352981082.0,6018070,Finance
INTC,Intel Corporation Common Stock,52.91,265255044639.0,126111565,Technology
GS,Goldman Sachs Group Inc. (The) Common Stock,864.15,254919014979.0,1471360,Finance
WFC,Wells Fargo & Company Common Stock,81.75,252229086526.0,8706122,Finance
PM,Philip Morris International Inc Common Stock,157.49,245161466897.0,3436868,Health Care
GEV,GE Vernova Inc. Common Stock,910.75,244860788704.0,1364334,
IBM,International Business Machines Corporation Common Stock,245.07,229884091388.0,2333729,Technology
LIN,Linde plc Ordinary Shares,494.59,229190115616.0,1701046,Basic Materials
TMUS,T-Mobile US Inc. Common Stock,200.54,220967553679.0,4473052,Telecommunications
MCD,McDonald's Corporation Common Stock,304.85,216565026014.0,2025769,Consumer Discretionary
AXP,American Express Company Common Stock,307.03,210556097566.0,2244618,Finance
PEP,PepsiCo Inc. Common Stock,153.21,209429025248.0,5138621,Consumer Staples
VZ,Verizon Communications Inc. Common Stock,48.62,205063804248.0,21862830,Telecommunications
C,Citigroup Inc. Common Stock,117.13,204897735524.0,8408786,Finance
KLAC,KLA Corporation Common Stock,1548.85,203018008947.0,522241,Technology
T,AT&T Inc.,28.04,195818917979.0,27596389,Telecommunications
